name	version	license	source	checksum
arbitrary	1.4.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	-
bitflags	2.13.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	-
cc	1.4.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	-
cfg-if	1.0.4	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	-
convert_case	0.10.0	MIT	registry+https://github.com/rust-lang/crates.io-index	-
crossterm	0.29.0	MIT	registry+https://github.com/rust-lang/crates.io-index	-
crossterm_winapi	0.9.1	MIT	registry+https://github.com/rust-lang/crates.io-index	-
derive_more	2.1.1	MIT	registry+https://github.com/rust-lang/crates.io-index	-
derive_more-impl	2.1.1	MIT	registry+https://github.com/rust-lang/crates.io-index	-
document-features	0.2.12	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	-
errno	0.3.14	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	-
find-msvc-tools	0.1.9	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	-
getrandom	0.4.3	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	-
jobserver	0.1.35	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	-
libc	0.2.189	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	-
libfuzzer-sys	0.4.13	(MIT OR Apache-2.0) AND NCSA	registry+https://github.com/rust-lang/crates.io-index	-
linux-raw-sys	0.12.1	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index	-
litrs	1.0.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	-
lock_api	0.4.14	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	-
log	0.4.33	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	-
luna-abi	0.1.0	Apache-2.0	workspace	-
luna-app	0.1.0	Apache-2.0	workspace	-
luna-asm-lexer	0.1.0	Apache-2.0	workspace	-
luna-assembler	0.1.0	Apache-2.0	workspace	-
luna-diag	0.1.0	Apache-2.0	workspace	-
luna-disassembler	0.1.0	Apache-2.0	workspace	-
luna-floatfmt	0.1.0	Apache-2.0	workspace	-
luna-guest-monitor	0.1.0	Apache-2.0	workspace	-
luna-isa	0.1.0	Apache-2.0	workspace	-
luna-isa-core	0.1.0	Apache-2.0	workspace	-
luna-machine	0.1.0	Apache-2.0	workspace	-
luna-memory	0.1.0	Apache-2.0	workspace	-
luna-monitor	0.1.0	Apache-2.0	workspace	-
luna-qemu-backend	0.1.0	Apache-2.0	workspace	-
luna-snapshot-format	0.1.0	Apache-2.0	workspace	-
luna-target-api	0.1.0	Apache-2.0	workspace	-
mio	1.2.2	MIT	registry+https://github.com/rust-lang/crates.io-index	-
parking_lot	0.12.5	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	-
parking_lot_core	0.9.12	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	-
proc-macro2	1.0.107	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	-
quote	1.0.47	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	-
r-efi	6.0.0	MIT OR Apache-2.0 OR LGPL-2.1-or-later	registry+https://github.com/rust-lang/crates.io-index	-
redox_syscall	0.5.18	MIT	registry+https://github.com/rust-lang/crates.io-index	-
rustc_version	0.4.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	-
rustix	1.1.4	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index	-
rvmonitor-fuzz	0.1.0	UNKNOWN	workspace	-
scopeguard	1.2.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	-
semver	1.0.28	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	-
shlex	2.0.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	-
signal-hook	0.3.18	Apache-2.0/MIT	registry+https://github.com/rust-lang/crates.io-index	-
signal-hook-mio	0.2.5	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	-
signal-hook-registry	1.4.8	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	-
smallvec	1.15.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	-
syn	2.0.119	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	-
unicode-ident	1.0.24	(MIT OR Apache-2.0) AND Unicode-3.0	registry+https://github.com/rust-lang/crates.io-index	-
unicode-segmentation	1.13.3	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	-
wasi	0.11.1+wasi-snapshot-preview1	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index	-
winapi	0.3.9	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	-
winapi-i686-pc-windows-gnu	0.4.0	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	-
winapi-x86_64-pc-windows-gnu	0.4.0	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	-
windows-link	0.2.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	-
windows-sys	0.61.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	-
